id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,tmdb_popularity,tmdb_score
tm235405,Hyena Road,MOVIE,2015,R,120,"['thriller', 'action', 'drama', 'war']",['CA'],tt4034452,6.5,7.365,6.7
ts52830,Gilmore Girls: A Year in the Life,SHOW,2016,TV-14,92,"['comedy', 'drama']",['US'],tt5435008,7.6,20.316,7.6
tm230551,Ip Man 3,MOVIE,2015,PG-13,105,"['drama', 'action', 'history']","['HK', 'CN']",tt2888046,7.0,33.711,7.0
ts38731,Rebellion,SHOW,2016,TV-14,51,"['war', 'drama', 'history', 'european']","['GB', 'IE']",tt4699982,7.1,14.262,6.9
ts42127,The Windsors,SHOW,2016,TV-MA,27,['comedy'],['GB'],tt5692740,7.1,7.115,7.3
ts41948,Hip Hop Evolution,SHOW,2016,TV-MA,48,"['documentation', 'music']",['CA'],tt6319696,8.4,5.002,7.8
ts38809,The Get Down,SHOW,2016,TV-MA,62,"['drama', 'music']",['US'],tt4592410,8.2,8.755,7.4
tm244403,ARQ,MOVIE,2016,R,88,"['scifi', 'thriller', 'action']",['US'],tt5640450,6.3,17.371,6.1
ts79799,Dragons: Race to the Edge,SHOW,2015,TV-Y7,22,"['animation', 'action', 'scifi', 'family', 'comedy', 'drama', 'fantasy']",['US'],tt4816058,8.2,58.201,8.2
tm139194,Ratchet & Clank,MOVIE,2016,PG,94,"['action', 'animation', 'comedy', 'family', 'scifi', 'fantasy']","['US', 'CA']",tt2870834,5.5,14.238,5.8
tm245671,Dangal,MOVIE,2016,PG,161,"['action', 'drama', 'sport']",['IN'],tt5074352,8.4,14.572,8.0
tm233317,Pee-wee's Big Holiday,MOVIE,2016,PG,90,"['comedy', 'family']",['US'],tt0837156,6.1,10.761,6.2
ts38568,Flaked,SHOW,2016,TV-MA,32,"['drama', 'romance', 'comedy']",['US'],tt4973548,7.2,13.564,6.9
ts37944,A Very Secret Service,SHOW,2015,TV-MA,27,"['comedy', 'european']",['FR'],tt4367560,7.7,9.908,7.6
ts42137,Voltron: Legendary Defender,SHOW,2016,TV-Y7,24,"['action', 'scifi', 'animation', 'comedy', 'drama', 'family', 'fantasy']",['US'],tt5580664,8.1,38.016,7.4
ts35987,Transformers: Robots In Disguise,SHOW,2015,TV-Y7,21,"['scifi', 'animation', 'action', 'comedy']",['US'],tt3604232,6.0,20.971,7.7
tm123789,The Young Messiah,MOVIE,2016,PG-13,120,"['drama', 'fantasy']",['US'],tt1002563,5.6,20.107,6.3
